video_id,label,modality,background_music,static_image,voice_over
---g-f_I2yQ_000001,male singing,A,True,False,False
---g-f_I2yQ_000001,people battle cry,A,True,False,False
---g-f_I2yQ_000001,people crowd,AV,True,False,False
---g-f_I2yQ_000001,people marching,AV,True,False,False
---g-f_I2yQ_000001,playing timpani,A,True,False,False
---g-f_I2yQ_000001,playing tympani,A,True,False,False
--i-y1v8Hy8_000000,child singing,AV,False,False,True
--i-y1v8Hy8_000000,"child speech, kid speaking",AV,False,False,True
--i-y1v8Hy8_000000,female singing,AV,False,False,True
-0BIyqJj9ZU_000030,baby laughter,A,False,False,False
-0BIyqJj9ZU_000030,people belly laughing,AV,False,False,False
-0BIyqJj9ZU_000030,people giggling,AV,False,False,False
-0BIyqJj9ZU_000030,people sniggering,AV,False,False,False
-0UuUoXQUoI_000107,playing double bass,AV,False,False,False
-0jeONf82dE_000021,"male speech, man speaking",AV,True,False,False
-0p7hKXZ1ww_000030,fireworks banging,AV,False,False,False
-0p7hKXZ1ww_000030,"male speech, man speaking",A,False,False,False
-0p7hKXZ1ww_000030,people sniggering,A,False,False,False
-0vPFx-wRRI_000030,male singing,AV,False,False,False
-0vPFx-wRRI_000030,people finger snapping,AV,False,False,False
-0vPFx-wRRI_000030,people humming,AV,False,False,False
-0yRK50zyTI_000030,"male speech, man speaking",AV,False,False,False
-0yRK50zyTI_000030,ripping paper,AV,False,False,False
-1BtY81-D54_000130,female singing,A,True,True,False
-1BtY81-D54_000130,male singing,A,True,True,False
-1BtY81-D54_000130,playing acoustic guitar,A,True,True,False
-1EXhfqLLwQ_000150,sloshing water,AV,False,False,False
-1EXhfqLLwQ_000150,splashing water,AV,False,False,False
-1pRmoJIGQc_000010,car engine idling,AV,False,False,False
-1pRmoJIGQc_000010,car engine knocking,A,False,False,False
-2-wdcN5vOw_000017,"railroad car, train wagon",AV,False,False,False
-2-wdcN5vOw_000017,"subway, metro, underground",AV,False,False,False
-2-wdcN5vOw_000017,wind noise,A,False,False,False
-23CeprtibU_000030,chainsawing trees,AV,False,False,False
-2Dm0VjW8oM_000001,"bird chirping, tweeting",A,False,False,False
-2Dm0VjW8oM_000001,"pigeon, dove cooing",AV,False,False,False
-2RPPODqLy4_000030,"male speech, man speaking",AV,False,False,True
-2RPPODqLy4_000030,playing acoustic guitar,AV,False,False,True
-3Kv4fdm7Uk_000030,plastic bottle crushing,A,False,False,False
-3Kv4fdm7Uk_000030,playing steelpan,AV,False,False,False
-3RH8_aeZkk_000105,"male speech, man speaking",A,False,False,False
-3b9gwBYXp8_000503,chopping food,AV,True,False,True
-3b9gwBYXp8_000503,"male speech, man speaking",AV,True,False,True
-3rHVsIj1M8_000030,bird wings flapping,V,False,False,False
-3rHVsIj1M8_000030,"motorboat, speedboat acceleration",AV,False,False,False
-3rHVsIj1M8_000030,sea waves,AV,False,False,False
-3rHVsIj1M8_000030,wind noise,A,False,False,False
-3z5mFRgbxc_000030,driving buses,AV,False,False,True
-3z5mFRgbxc_000030,"male speech, man speaking",A,False,False,True
-40nDU5Ecgg_000130,baby laughter,A,False,False,False
-42aitlKedE_000574,"male speech, man speaking",A,False,False,True
-42aitlKedE_000574,striking pool,AV,False,False,True
-4DpBHTuc88_000075,playing electronic organ,AV,False,False,False
-4DpBHTuc88_000075,playing piano,AV,False,False,False
-4bPiXbovf0_000008,air conditioning noise,A,False,False,False
-4kkGS4-qVM_000010,playing cello,A,True,True,False
-4kkGS4-qVM_000010,playing clarinet,A,True,True,False
-4pmCrSdMhg_000030,"donkey, ass braying",A,True,False,False
-4pmCrSdMhg_000030,horse clip-clop,V,True,False,False
-4pmCrSdMhg_000030,people crowd,AV,True,False,False
-4viN_EoxOA_000000,male singing,A,True,True,False
-4viN_EoxOA_000000,playing drum kit,A,True,True,False
-4viN_EoxOA_000000,playing saxophone,A,True,True,False
-4viN_EoxOA_000000,playing trumpet,A,True,True,False
-5CGQGSFGyg_000060,playing electronic organ,AV,True,False,False
-5CGQGSFGyg_000060,playing hammond organ,AV,True,False,False
-5z9IXBJefc_000227,playing djembe,AV,False,False,False
-615mGonUqU_000232,baltimore oriole calling,AV,False,False,False
-615mGonUqU_000232,"bird chirping, tweeting",AV,False,False,False
-615mGonUqU_000232,duck quacking,AV,False,False,False
-615mGonUqU_000232,bird squawking,AV,False,False,False
-6u76q0L5o8_000067,civil defense siren,A,False,False,False
-6u76q0L5o8_000067,"female speech, woman speaking",AV,False,False,False
-79qo5MUYBk_000207,"railroad car, train wagon",AV,False,False,False
-79qo5MUYBk_000207,train horning,AV,False,False,False
-79qo5MUYBk_000207,train wheels squealing,AV,False,False,False
-79qo5MUYBk_000207,train whistling,A,False,False,False
-7TanrCbmME_000030,child singing,AV,True,False,False
-7TanrCbmME_000030,female singing,AV,True,False,False
-7TanrCbmME_000030,playing acoustic guitar,A,True,False,False
-7YESdyyHVw_000010,"cattle, bovinae cowbell",A,False,False,False
-7YESdyyHVw_000010,sheep bleating,AV,False,False,False
-7sg--aJdrc_000039,chimpanzee pant-hooting,AV,True,False,True
-7sg--aJdrc_000039,gibbon howling,V,True,False,True
-7tYmeOmsRg_000058,people eating,AV,False,False,False
-8C-gydUbR8_000030,female singing,AV,False,False,False
-8C-gydUbR8_000030,male singing,AV,False,False,False
-8C-gydUbR8_000030,playing bass guitar,AV,False,False,False
-8C-gydUbR8_000030,playing cymbal,A,False,False,False
-8C-gydUbR8_000030,playing drum kit,A,False,False,False
-8C-gydUbR8_000030,playing snare drum,A,False,False,False
-8cgbhIR_pw_000030,male singing,AV,False,False,False
-8cgbhIR_pw_000030,playing acoustic guitar,AV,False,False,False
-8lzdlqUtJQ_000061,"bird chirping, tweeting",A,False,False,False
-8pCMgGKZY8_000012,dog barking,AV,True,False,True
-8pCMgGKZY8_000012,dog bow-wow,AV,True,False,True
